id,customer_id,installment_name,amount,due_date,status
PAY-0034,KNB16-Z-2008,ชำระเต็มจำนวน 100%,735440,2026-06-22,paid
PAY-0035,KNB16-Z-2016,ชำระเต็มจำนวน 100%,100000,2026-01-28,paid
PAY-0036,KNB16-Z-2106,ชำระเต็มจำนวน 100%,24500,2026-05-20,paid
PAY-0037,KNB16-Z-2612,ชำระเต็มจำนวน 100%,26200,2026-02-26,paid
PAY-0038,KNB16-Z-2612,ชำระเต็มจำนวน 100%,86900,2026-02-26,paid
PAY-0039,KNB16-Z-2613,ชำระเต็มจำนวน 100%,86900,2026-03-27,paid
PAY-0040,KNB16-Z-2615,ชำระเต็มจำนวน 100%,86900,2026-02-26,paid
PAY-0041,KNB16-Z-2616,ชำระเต็มจำนวน 100%,86900,2026-03-27,paid
PAY-0042,KNB16-Z-2703,ชำระเต็มจำนวน 100%,86900,2026-01-28,paid
PAY-0043,KNB16-Z-2714,ชำระเต็มจำนวน 100%,96200,2026-03-27,paid
PAY-0044,KNB16-Z-2718,ชำระเต็มจำนวน 100%,82000,2026-01-28,paid
PAY-0045,KNB16-Z-3201,ชำระเต็มจำนวน 100%,160300,2026-03-27,paid
PAY-0046,KNB16-Z-3202,ชำระเต็มจำนวน 100%,134400,2026-03-27,paid
PAY-0047,KNB16-Z-3206,มัดจำจองสิทธิ์,20000,,paid
PAY-0048,Z0073-Z-1BM,ชำระเต็มจำนวน 100%,516434,2025-09-25,paid
PAY-0049,Z0073-Z-1BM,ชำระเต็มจำนวน 100%,500230,2025-09-25,paid
PAY-0050,Z0073-Z-1PB,ชำระเต็มจำนวน 100%,620926,2025-09-25,paid
PAY-0051,Z0073-Z-MUR,ชำระเต็มจำนวน 100%,580305,2026-09-25,paid
PAY-0052,Z0073-Z-Prop,ชำระเต็มจำนวน 100%,350000,2026-06-05,paid
PAY-0053,Z0073-Z-S1,ชำระเต็มจำนวน 100%,398486,2025-09-25,paid
PAY-0054,Z0070-Z-AC,ชำระเต็มจำนวน 100%,60000,2026-02-05,paid
PAY-0055,Z0070-Z-Door,ชำระเต็มจำนวน 100%,107865,2026-05-25,paid
PAY-0056,Z0070-Z-Int,ชำระเต็มจำนวน 100%,585051,2026-02-05,paid
PAY-0057,Z0070-Z-LF,ชำระเต็มจำนวน 100%,83781,2026-02-05,paid
PAY-0058,Z0070-Z-Studio,ชำระเต็มจำนวน 100%,240000,2026-02-05,paid
PAY-0059,OPL01-Z-1109,มัดจำจองสิทธิ์,3000,,paid
PAY-0060,OPL01-Z-1138,ชำระเต็มจำนวน 100%,15000,2026-03-27,paid
PAY-0061,OPL01-Z-1204,ชำระเต็มจำนวน 100%,16800,2026-04-07,paid
PAY-0062,OPL01-Z-1239,ชำระ 50% แรก เริ่มงาน,230000,,paid
PAY-0063,OPL01-Z-1241,มัดจำจองสิทธิ์,5000,,paid
PAY-0064,OPL01-Z-510,ชำระเต็มจำนวน 100%,12200,2026-03-27,paid
PAY-0065,OPL01-Z-532,มัดจำจองสิทธิ์,20000,,paid
PAY-0066,OPL01-Z-535,ชำระเต็มจำนวน 100%,21600,2026-03-27,paid
PAY-0067,OPL01-Z-540,ชำระเต็มจำนวน 100%,17400,2026-01-31,paid
PAY-0068,OPL01-Z-621,ชำระเต็มจำนวน 100%,85000,2026-03-27,paid
PAY-0069,OPL01-Z-640,ชำระเต็มจำนวน 100%,51100,2026-04-26,paid
PAY-0070,OPL01-Z-646,ชำระเต็มจำนวน 100%,74000,2026-01-28,paid
PAY-0071,OPL01-Z-704,ชำระเต็มจำนวน 100%,58500,2026-02-26,paid
PAY-0072,OPL01-Z-808,ชำระเต็มจำนวน 100%,22000,2026-02-26,paid
PAY-0073,OPL01-Z-832,ชำระเต็มจำนวน 100%,112240,2026-03-27,paid
PAY-0074,OPL01-Z-840,ชำระเต็มจำนวน 100%,14400,,paid
PAY-0075,OPL01-Z-840,ชำระเต็มจำนวน 100%,14400,2026-03-27,paid
PAY-0076,OPL01-Z-940,ชำระเต็มจำนวน 100%,63700,2026-02-26,paid
PAY-0077,OPL07-B-210,ชำระเต็มจำนวน 100%,20340,2026-05-14,paid
PAY-0078,OPL07-B-211,มัดจำจองสิทธิ์,5000,,paid
PAY-0079,OPL07-A-216,ชำระเต็มจำนวน 100%,67000,2026-06-12,paid
PAY-0080,OPL07-A-217,ชำระเต็มจำนวน 100%,3500,2026-05-14,paid
PAY-0081,OPL07-A-217,ชำระเต็มจำนวน 100%,11495,2026-05-14,paid
PAY-0082,OPL07-B-231,ชำระ 50% แรก เริ่มงาน,39500,,paid
PAY-0083,OPL07-A-329,ชำระเต็มจำนวน 100%,28000,,paid
PAY-0084,OPL07-A-329,ชำระเต็มจำนวน 100%,28000,2026-04-29,paid
PAY-0085,OPL07-B-402,ชำระ 50% แรก เริ่มงาน,19800,,paid
PAY-0086,OPL07-B-402,ชำระเต็มจำนวน 100%,19800,2026-06-12,paid
PAY-0087,OPL07-A-414,ชำระเต็มจำนวน 100%,19600,2026-06-09,paid
PAY-0088,OPL07-A-427,ชำระเต็มจำนวน 100%,70000,2026-06-16,paid
PAY-0089,OPL07-B-505,ชำระเต็มจำนวน 100%,139000,2026-06-30,paid
PAY-0090,OPL07-B-516,ชำระ 50% แรก เริ่มงาน,48700,,paid
PAY-0091,OPL07-B-516,ชำระเต็มจำนวน 100%,87400,2026-06-11,paid
PAY-0092,OPL07-B-526,ชำระเต็มจำนวน 100%,69882,2026-06-11,paid
PAY-0093,OPL07-A-527,มัดจำจองสิทธิ์,5000,,paid
PAY-0094,OPL07-A-527,ชำระเต็มจำนวน 100%,27560,2026-05-18,paid
PAY-0095,OPL07-B-527,ชำระเต็มจำนวน 100%,160000,2026-05-30,paid
PAY-0096,OPL07-B-531,ชำระ 50% แรก เริ่มงาน,19800,,paid
PAY-0097,OPL07-A-533,ชำระเต็มจำนวน 100%,229840,2026-06-12,paid
PAY-0098,OPL07-B-606,มัดจำจองสิทธิ์,5000,,paid
PAY-0099,OPL07-B-606,มัดจำจองสิทธิ์,5000,,paid
PAY-0100,OPL07-B-611,ชำระเต็มจำนวน 100%,30000,,paid
PAY-0101,OPL07-B-611,ชำระเต็มจำนวน 100%,30000,,paid
PAY-0102,OPL07-A-630,ชำระเต็มจำนวน 100%,140000,2026-06-30,paid
PAY-0103,OPL07-A-708,ชำระเต็มจำนวน 100%,10000,,paid
PAY-0104,OPL07-B-710,มัดจำจองสิทธิ์,5000,,paid
PAY-0105,OPL07-B-713,มัดจำจองสิทธิ์,5000,,paid
PAY-0106,OPL07-B-729,ชำระเต็มจำนวน 100%,39048,,paid
PAY-0107,OPL07-B-729,ชำระเต็มจำนวน 100%,43840,,paid
PAY-0108,OPL07-A-802,ชำระเต็มจำนวน 100%,5000,2026-05-26,paid
PAY-0109,OPL07-A-832,ชำระเต็มจำนวน 100%,91800,2026-06-11,paid
PAY-0110,OPL06-Z-1003,มัดจำจองสิทธิ์,5000,,paid
PAY-0111,OPL06-Z-1103,มัดจำจองสิทธิ์,10000,,paid
PAY-0112,OPL06-Z-1105,มัดจำจองสิทธิ์,5000,,paid
PAY-0113,OPL06-Z-1105,มัดจำจองสิทธิ์,5000,,paid
PAY-0114,OPL06-Z-1107,มัดจำจองสิทธิ์,5000,,paid
PAY-0115,OPL06-Z-1108,มัดจำจองสิทธิ์,5000,,paid
PAY-0116,OPL06-Z-1208,มัดจำจองสิทธิ์,5000,,paid
PAY-0117,OPL06-Z-1209,มัดจำจองสิทธิ์,5000,,paid
PAY-0118,OPL06-Z-1209,มัดจำจองสิทธิ์,5000,,paid
PAY-0119,OPL06-Z-1211,มัดจำจองสิทธิ์,5000,,paid
PAY-0120,OPL06-Z-1219,มัดจำจองสิทธิ์,5000,,paid
PAY-0121,OPL06-Z-1220,มัดจำจองสิทธิ์,5000,,paid
PAY-0122,OPL06-Z-12A01,มัดจำจองสิทธิ์,5000,,paid
PAY-0123,OPL06-Z-12A02,มัดจำจองสิทธิ์,10000,,paid
PAY-0124,OPL06-Z-12A17,มัดจำจองสิทธิ์,5000,,paid
PAY-0125,OPL06-Z-12A17,มัดจำจองสิทธิ์,5000,,paid
PAY-0126,OPL06-Z-1408,มัดจำจองสิทธิ์,5000,,paid
PAY-0127,OPL06-Z-1415,มัดจำจองสิทธิ์,5000,,paid
PAY-0128,OPL06-Z-1515,มัดจำจองสิทธิ์,5000,,paid
PAY-0129,OPL06-Z-1515,มัดจำจองสิทธิ์,5000,,paid
PAY-0130,OPL06-Z-1615,มัดจำจองสิทธิ์,5000,,paid
PAY-0131,OPL06-Z-1714,มัดจำจองสิทธิ์,5000,,paid
PAY-0132,OPL06-Z-1715,มัดจำจองสิทธิ์,5000,,paid
PAY-0133,OPL06-Z-1801,ชำระเต็มจำนวน 100%,10000,,paid
PAY-0134,OPL06-Z-1813,มัดจำจองสิทธิ์,5000,,paid
PAY-0135,OPL06-Z-1813,มัดจำจองสิทธิ์,5000,,paid
PAY-0136,OPL06-Z-2002,ชำระ 50% แรก เริ่มงาน,14655,,paid
PAY-0137,OPL06-Z-2006,มัดจำจองสิทธิ์,5000,,paid
PAY-0138,OPL06-Z-2009,มัดจำจองสิทธิ์,5000,,paid
PAY-0139,OPL06-Z-2009,มัดจำจองสิทธิ์,5000,,paid
PAY-0140,OPL06-Z-2101,มัดจำจองสิทธิ์,5000,,paid
PAY-0141,OPL06-Z-502,มัดจำจองสิทธิ์,14592,,paid
PAY-0142,OPL06-Z-506,มัดจำจองสิทธิ์,5000,,paid
PAY-0143,OPL06-Z-507,มัดจำจองสิทธิ์,10000,,paid
PAY-0144,OPL06-Z-508,มัดจำจองสิทธิ์,5000,,paid
PAY-0145,OPL06-Z-516,มัดจำจองสิทธิ์,5000,,paid
PAY-0146,OPL06-Z-605,มัดจำจองสิทธิ์,5000,,paid
PAY-0147,OPL06-Z-608,มัดจำจองสิทธิ์,5000,,paid
PAY-0148,OPL06-Z-608,มัดจำจองสิทธิ์,5000,,paid
PAY-0149,OPL06-Z-801,มัดจำจองสิทธิ์,5000,,paid
PAY-0150,OPL06-Z-805,มัดจำจองสิทธิ์,5000,,paid
PAY-0151,OPL06-Z-902,มัดจำจองสิทธิ์,5000,,paid
PAY-0152,OPL06-Z-905,มัดจำจองสิทธิ์,5000,,paid
PAY-0153,OPL06-Z-905,มัดจำจองสิทธิ์,5000,,paid
PAY-0154,OPL06-Z-910,มัดจำจองสิทธิ์,5000,,paid
PAY-0155,OPL06-Z-910,มัดจำจองสิทธิ์,5000,,paid
PAY-0156,OPL06-Z-919,มัดจำจองสิทธิ์,5000,,paid
PAY-0157,OPL06-Z-919,มัดจำจองสิทธิ์,5000,,paid
PAY-0158,ORP04-Z-1012,ชำระเต็มจำนวน 100%,179000,2026-04-29,paid
PAY-0159,ORP04-Z-1111,ชำระเต็มจำนวน 100%,8100,,paid
PAY-0160,ORP04-Z-1113,ชำระ 50% แรก เริ่มงาน,42500,,paid
PAY-0161,ORP04-Z-1121,มัดจำจองสิทธิ์,5000,,paid
PAY-0162,ORP04-Z-1201,มัดจำจองสิทธิ์,5000,,paid
PAY-0163,ORP04-Z-1205,มัดจำจองสิทธิ์,5000,,paid
PAY-0164,ORP04-Z-12A03,ชำระเต็มจำนวน 100%,310930,2026-04-26,paid
PAY-0165,ORP04-Z-12A23,ชำระเต็มจำนวน 100%,12300,2026-04-21,paid
PAY-0166,ORP04-Z-1401,มัดจำจองสิทธิ์,3000,,paid
PAY-0167,ORP04-Z-1402,ชำระเต็มจำนวน 100%,28140,2026-05-20,paid
PAY-0168,ORP04-Z-1404,ชำระเต็มจำนวน 100%,166880,2026-03-27,paid
PAY-0169,ORP04-Z-1418,ชำระเต็มจำนวน 100%,26300,2026-05-20,paid
PAY-0170,ORP04-Z-1421,มัดจำจองสิทธิ์,5000,,paid
PAY-0171,ORP04-Z-1507,ชำระเต็มจำนวน 100%,45000,2026-06-08,paid
PAY-0172,ORP04-Z-1510,ชำระเต็มจำนวน 100%,60420,,paid
PAY-0173,ORP04-Z-1510,ชำระเต็มจำนวน 100%,11900,2026-06-29,paid
PAY-0174,ORP04-Z-1512,ชำระเต็มจำนวน 100%,13000,,paid
PAY-0175,ORP04-Z-1512,ชำระเต็มจำนวน 100%,13000,2026-06-08,paid
PAY-0176,ORP04-Z-1517,ชำระเต็มจำนวน 100%,21100,2026-03-27,paid
PAY-0177,ORP04-Z-1520,ชำระเต็มจำนวน 100%,31000,2026-04-29,paid
PAY-0178,ORP04-Z-1525,ชำระเต็มจำนวน 100%,19000,2026-05-26,paid
PAY-0179,ORP04-Z-1601,มัดจำจองสิทธิ์,3000,,paid
PAY-0180,ORP04-Z-1611,ชำระเต็มจำนวน 100%,15800,,paid
PAY-0181,ORP04-Z-1611,ชำระเต็มจำนวน 100%,15800,2026-04-25,paid
PAY-0182,ORP04-Z-1615,มัดจำจองสิทธิ์,57950,,paid
PAY-0183,ORP04-Z-1616,มัดจำจองสิทธิ์,10000,,paid
PAY-0184,ORP04-Z-1621,มัดจำจองสิทธิ์,5000,,paid
PAY-0185,ORP04-Z-1623,ชำระเต็มจำนวน 100%,15210,,paid
PAY-0186,ORP04-Z-1623,ชำระเต็มจำนวน 100%,15210,2026-05-12,paid
PAY-0187,ORP04-Z-1703,ชำระเต็มจำนวน 100%,28000,2026-04-26,paid
PAY-0188,ORP04-Z-1804,ชำระเต็มจำนวน 100%,3000,2026-04-26,paid
PAY-0189,ORP04-Z-1809,มัดจำจองสิทธิ์,5000,,paid
PAY-0190,ORP04-Z-1902,มัดจำจองสิทธิ์,5000,,paid
PAY-0191,ORP04-Z-1902,ชำระเต็มจำนวน 100%,10000,2026-04-30,paid
PAY-0192,ORP04-Z-1906,มัดจำจองสิทธิ์,15000,,paid
PAY-0193,ORP04-Z-1908,ชำระเต็มจำนวน 100%,27690,2026-04-25,paid
PAY-0194,ORP04-Z-1909,ชำระเต็มจำนวน 100%,383710,2026-06-22,paid
PAY-0195,ORP04-Z-1911,ชำระเต็มจำนวน 100%,42490,2026-03-27,paid
PAY-0196,ORP04-Z-1922,มัดจำจองสิทธิ์,50000,,paid
PAY-0197,ORP04-Z-2008,มัดจำจองสิทธิ์,5000,,paid
PAY-0198,ORP04-Z-2018,มัดจำจองสิทธิ์,10000,,paid
PAY-0199,ORP04-Z-2103,มัดจำจองสิทธิ์,5000,,paid
PAY-0200,ORP04-Z-2207,ชำระเต็มจำนวน 100%,228000,2026-06-22,paid
PAY-0201,ORP04-Z-2208,มัดจำจองสิทธิ์,5000,,paid
PAY-0202,ORP04-Z-2224,ชำระเต็มจำนวน 100%,10000,2026-05-20,paid
PAY-0203,ORP04-Z-2324,มัดจำจองสิทธิ์,5000,,paid
PAY-0204,ORP04-Z-2412,ชำระเต็มจำนวน 100%,5000,2026-06-22,paid
PAY-0205,ORP04-Z-2513,ชำระเต็มจำนวน 100%,26000,2026-06-22,paid
PAY-0206,ORP04-Z-2707,มัดจำจองสิทธิ์,20000,,paid
PAY-0207,ORP04-Z-2708,ชำระเต็มจำนวน 100%,34000,,paid
PAY-0208,ORP04-Z-2708,ชำระเต็มจำนวน 100%,34000,2026-06-22,paid
PAY-0209,ORP04-Z-2803,ชำระ 50% แรก เริ่มงาน,77350,,paid
PAY-0210,ORP04-Z-2807,ชำระเต็มจำนวน 100%,34000,,paid
PAY-0211,ORP04-Z-701,มัดจำจองสิทธิ์,5000,,paid
PAY-0212,ORP04-Z-711,มัดจำจองสิทธิ์,5000,,paid
PAY-0213,ORP04-Z-712,มัดจำจองสิทธิ์,5000,,paid
PAY-0214,ORP04-Z-802,ชำระเต็มจำนวน 100%,19610,2026-05-21,paid
PAY-0215,ORP04-Z-804,มัดจำจองสิทธิ์,5000,,paid
PAY-0216,ORP04-Z-804,ชำระเต็มจำนวน 100%,108400,2026-03-24,paid
PAY-0217,ORP04-Z-809,ชำระเต็มจำนวน 100%,14910,2026-06-26,paid
PAY-0218,ORP04-Z-812,ชำระเต็มจำนวน 100%,11200,2026-04-26,paid
PAY-0219,ORP04-Z-812,ชำระเต็มจำนวน 100%,167620,2026-04-26,paid
PAY-0220,ORP04-Z-817,ชำระเต็มจำนวน 100%,93978,2026-03-27,paid
PAY-0221,ORP04-Z-820,ชำระเต็มจำนวน 100%,60520,2026-03-27,paid
PAY-0222,ORP04-Z-901,มัดจำจองสิทธิ์,5000,,paid
PAY-0223,ORP04-Z-905,ชำระเต็มจำนวน 100%,12000,2026-02-26,paid
PAY-0224,ORP04-Z-919,ชำระเต็มจำนวน 100%,16600,2026-04-24,paid
PAY-0225,ORP04-Z-922,มัดจำจองสิทธิ์,5000,,paid
PAY-0226,ORP03-Z-1001,ชำระเต็มจำนวน 100%,8000,2026-01-29,paid
PAY-0227,ORP03-Z-1001,ชำระเต็มจำนวน 100%,14800,2026-01-30,paid
PAY-0228,ORP03-Z-1003,ชำระเต็มจำนวน 100%,8000,2026-01-29,paid
PAY-0229,ORP03-Z-1011,ชำระเต็มจำนวน 100%,8000,2026-01-30,paid
PAY-0230,ORP03-Z-1018,ชำระเต็มจำนวน 100%,275550,2026-04-07,paid
PAY-0231,ORP03-Z-1112,ชำระเต็มจำนวน 100%,8000,2026-01-30,paid
PAY-0232,ORP03-Z-1121,มัดจำจองสิทธิ์,5000,,paid
PAY-0233,ORP03-Z-1204,มัดจำจองสิทธิ์,5000,,paid
PAY-0234,ORP03-Z-1207,ชำระเต็มจำนวน 100%,8000,2026-01-30,paid
PAY-0235,ORP03-Z-1210,ชำระเต็มจำนวน 100%,18500,2026-05-10,paid
PAY-0236,ORP03-Z-1215,มัดจำจองสิทธิ์,5000,,paid
PAY-0237,ORP03-Z-1216,ชำระเต็มจำนวน 100%,6500,,paid
PAY-0238,ORP03-Z-1221,ชำระเต็มจำนวน 100%,8000,2026-02-28,paid
PAY-0239,ORP03-Z-12A11,ชำระเต็มจำนวน 100%,2000,,paid
PAY-0240,ORP03-Z-12A21,ชำระเต็มจำนวน 100%,17500,2026-05-15,paid
PAY-0241,ORP03-Z-1317,ชำระเต็มจำนวน 100%,8000,2026-02-28,paid
PAY-0242,ORP03-Z-1401,ชำระเต็มจำนวน 100%,8000,2026-02-28,paid
PAY-0243,ORP03-Z-1404,ชำระเต็มจำนวน 100%,8000,2026-01-30,paid
PAY-0244,ORP03-Z-1405,ชำระเต็มจำนวน 100%,8000,2026-01-30,paid
PAY-0245,ORP03-Z-1408,ชำระ 50% แรก เริ่มงาน,42335,,paid
PAY-0246,ORP03-Z-1408,ชำระเต็มจำนวน 100%,74670,2026-03-23,paid
PAY-0247,ORP03-Z-1410,ชำระเต็มจำนวน 100%,16000,2026-02-28,paid
PAY-0248,ORP03-Z-1913,รับ PO / อนุมัติงาน,0,,paid
PAY-0249,ORP03-Z-1412,ชำระเต็มจำนวน 100%,8000,2026-01-30,paid
PAY-0250,ORP03-Z-1415,ชำระเต็มจำนวน 100%,8000,2026-01-29,paid
PAY-0251,ORP03-Z-1501,ชำระเต็มจำนวน 100%,5000,2026-06-08,paid
PAY-0252,ORP03-Z-1503,ชำระเต็มจำนวน 100%,77760,2026-02-24,paid
PAY-0253,ORP03-Z-1503,ชำระเต็มจำนวน 100%,8000,2026-02-28,paid
PAY-0254,ORP03-Z-1515,ชำระ 50% แรก เริ่มงาน,9600,,paid
PAY-0255,ORP03-Z-1515,ชำระเต็มจำนวน 100%,8000,2026-01-29,paid
PAY-0256,ORP03-Z-1606,ชำระเต็มจำนวน 100%,182500,,paid
PAY-0257,ORP03-Z-1608,ชำระเต็มจำนวน 100%,8000,2026-02-28,paid
PAY-0258,ORP03-Z-1611,ชำระเต็มจำนวน 100%,8000,2026-02-28,paid
PAY-0259,ORP03-Z-1613,ชำระเต็มจำนวน 100%,8000,2026-02-28,paid
PAY-0260,ORP03-Z-2307,รับ PO / อนุมัติงาน,0,,paid
PAY-0261,ORP03-Z-1615,ชำระเต็มจำนวน 100%,184120,2026-06-08,paid
PAY-0262,ORP03-Z-1619,ชำระเต็มจำนวน 100%,8000,2026-02-28,paid
PAY-0263,ORP03-Z-1621,ชำระเต็มจำนวน 100%,8000,2026-02-28,paid
PAY-0264,ORP03-Z-802,รับ PO / อนุมัติงาน,0,,paid
PAY-0265,ORP03-Z-810,รับ PO / อนุมัติงาน,0,,paid
PAY-0266,ORP03-Z-1701,ชำระเต็มจำนวน 100%,8000,2026-01-30,paid
PAY-0267,ORP03-Z-820,รับ PO / อนุมัติงาน,0,,paid
PAY-0268,ORP03-Z-1704,ชำระเต็มจำนวน 100%,8000,2026-02-28,paid
PAY-0269,ORP03-Z-1707,ชำระเต็มจำนวน 100%,8000,2026-02-28,paid
PAY-0270,ORP03-Z-1708,มัดจำจองสิทธิ์,5000,,paid
PAY-0271,ORP03-Z-1709,ชำระเต็มจำนวน 100%,5000,,paid
PAY-0272,ORP03-Z-1711,ชำระเต็มจำนวน 100%,8000,2026-01-30,paid
PAY-0273,ORP03-Z-907,รับ PO / อนุมัติงาน,0,,paid
PAY-0274,ORP03-Z-1712,ชำระเต็มจำนวน 100%,5000,2026-02-24,paid
PAY-0275,ORP03-Z-911,รับ PO / อนุมัติงาน,0,,paid
PAY-0276,ORP03-Z-918,รับ PO / อนุมัติงาน,0,,paid
PAY-0277,ORP03-Z-1712,ชำระเต็มจำนวน 100%,8000,2026-02-28,paid
PAY-0278,ORP03-Z-1713,ชำระเต็มจำนวน 100%,5000,,paid
PAY-0279,ORP03-Z-1718,ชำระเต็มจำนวน 100%,2000,,paid
PAY-0280,ORP03-Z-1720,ชำระเต็มจำนวน 100%,46770,2026-06-24,paid
PAY-0281,ORP03-Z-1721,ชำระเต็มจำนวน 100%,8000,2026-01-30,paid
PAY-0282,ORP03-Z-1806,ชำระเต็มจำนวน 100%,8000,2026-02-28,paid
PAY-0283,ORP03-Z-1018,รับ PO / อนุมัติงาน,0,,paid
PAY-0284,ORP03-Z-1102,รับ PO / อนุมัติงาน,0,,paid
PAY-0285,ORP03-Z-1103,รับ PO / อนุมัติงาน,0,,paid
PAY-0286,ORP03-Z-1106,รับ PO / อนุมัติงาน,0,,paid
PAY-0287,ORP03-Z-1813,ชำระเต็มจำนวน 100%,8000,2026-02-28,paid
PAY-0288,ORP03-Z-1121,รับ PO / อนุมัติงาน,0,,paid
PAY-0289,ORP03-Z-1901,ชำระ 50% แรก เริ่มงาน,67805,,paid
PAY-0290,ORP03-Z-1210,รับ PO / อนุมัติงาน,0,,paid
PAY-0291,ORP03-Z-1215,รับ PO / อนุมัติงาน,0,,paid
PAY-0292,ORP03-Z-1216,รับ PO / อนุมัติงาน,0,,paid
PAY-0293,ORP03-Z-1218,รับ PO / อนุมัติงาน,0,,paid
PAY-0294,ORP03-Z-1901,ชำระเต็มจำนวน 100%,125610,2026-05-19,paid
PAY-0295,ORP03-Z-1306,รับ PO / อนุมัติงาน,0,,paid
PAY-0296,ORP03-Z-1307,รับ PO / อนุมัติงาน,0,,paid
PAY-0297,ORP03-Z-1311,รับ PO / อนุมัติงาน,0,,paid
PAY-0298,ORP03-Z-1312,รับ PO / อนุมัติงาน,0,,paid
PAY-0299,ORP03-Z-1314,รับ PO / อนุมัติงาน,0,,paid
PAY-0300,ORP03-Z-1907,ชำระเต็มจำนวน 100%,8000,2026-01-29,paid
PAY-0301,ORP03-Z-1318,รับ PO / อนุมัติงาน,0,,paid
PAY-0302,ORP03-Z-1321,รับ PO / อนุมัติงาน,0,,paid
PAY-0303,ORP03-Z-1909,ชำระเต็มจำนวน 100%,23130,2026-02-06,paid
PAY-0304,ORP03-Z-1403,รับ PO / อนุมัติงาน,0,,paid
PAY-0305,ORP03-Z-1909,ชำระเต็มจำนวน 100%,8000,2026-01-29,paid
PAY-0306,ORP03-Z-1921,ชำระเต็มจำนวน 100%,8000,2026-02-28,paid
PAY-0307,ORP03-Z-1406,รับ PO / อนุมัติงาน,0,,paid
PAY-0308,ORP03-Z-1407,รับ PO / อนุมัติงาน,0,,paid
PAY-0309,ORP03-Z-1408,รับ PO / อนุมัติงาน,0,,paid
PAY-0310,ORP03-Z-2001,ชำระเต็มจำนวน 100%,15000,2026-03-22,paid
PAY-0311,ORP03-Z-1411,รับ PO / อนุมัติงาน,0,,paid
PAY-0312,ORP03-Z-2001,ชำระเต็มจำนวน 100%,8000,2026-01-30,paid
PAY-0313,ORP03-Z-2002,ชำระเต็มจำนวน 100%,8000,2026-01-30,paid
PAY-0314,ORP03-Z-1417,รับ PO / อนุมัติงาน,0,,paid
PAY-0315,ORP03-Z-1501,รับ PO / อนุมัติงาน,0,,paid
PAY-0316,ORP03-Z-2006,ชำระเต็มจำนวน 100%,17280,2026-04-25,paid
PAY-0317,ORP03-Z-2006,ชำระเต็มจำนวน 100%,8000,2026-02-28,paid
